2018 big climb seattle
2018-3-25

175 # 100 base, 75 bonus
,Jesse Berg,,M,7:59
,Tristan Roth,,M,8:08
,Chris Baldus,,M,8:09
,Zach Schade,,M,8:09
,Eric Brill,,M,8:23
,Mark Henderson,,M,8:25
,Aaron Mainer,,M,8:53
,Tim Whitcombe,,M,9:00
,Lawrence Beck,,M,9:02
,Ambrogino Giusti,,M,9:10
,Mason Watamura,,M,9:13
,Paul Yetter,,M,9:15
,Kevin Lin,,M,9:17
,Tyler Kennedy,,M,9:21
,Shrikant Adhikarla,,M,9:26
,Rick Wade,,M,9:27
,Noah Kreyenhagen,,M,9:27
,Spencer Ambauen,,M,9:33
,Shane Effgen,,M,9:36
,Martin Keereman,,M,9:36
,Andre Ellison,,M,9:42
,Caleb Richardson,,M,9:43
,Phillip Meader Yetter,,M,9:44
,Justin Burgess,,M,9:45
,Scott Harder,,M,9:47
,Christopher Markus,,M,9:50
,Westy Ford,,M,9:50
,ethan Libman,,M,9:57
,Iain Maryanow,,M,9:58
,Ian Cox,,M,9:58
,Mason Wrolstad,,M,9:59
,Isrea Butler,,M,10:03
,Gavin McLeroy,,M,10:05
,Alex Eng,,M,10:05
,Seth Holsinger,,M,10:05
,Sean Messiter,,M,10:06
,Patrick Hodder,,M,10:06
,Dillon Roth,,M,10:09
,Greg Long,,M,10:10
,Logan Fouts,,M,10:12
,Perry Olix,,M,10:13
,Connor Holtzclaw,,M,10:13
,Jeffrey Dinkin,,M,10:20
,Scott Janke,,M,10:21
,Kyle Watamura,,M,10:21
,Matthias Broecheler,,M,10:22
,Sam Gross,,M,10:24
,Andrew Harris,,M,10:25
,Alberto Lopez,,M,10:26
,Chad Hopkins,,M,10:26
,Dwayne Magnusson,,M,10:27
,Nathan Harmon,,M,10:27
,David Klinginsmith,,M,10:29
,Daniel Dill,,M,10:30
,Alexander Cornacchia,,M,10:31
,steve Johns,,M,10:33
,nick gerisilo,,M,10:33
,jonah phillips,,M,10:35
,Spencer Wallis,,M,10:36
,Gregg Goodman,,M,10:37
,Clay Cortright,,M,10:37
,Harper Churape,,M,10:39
,Tyler Peterson,,M,10:39
,Eric Chang,,M,10:41
,Tyson Goodman,,M,10:41
,Dan Arlan,,M,10:41
