2018 ESBRU
2018-2-7

160 # 13:46  bonus cutoff, 17 made it, 10 bonus points
1,FRANK NICOLAS CARRENO,,*M,10:50,"BOGOTA, CUNDINAMAR"
2,OMAR BEKKALI,,*M,11:53,"HEER, NAMUR"
3,SPROULE LOVE,,M,12:10,"NEW YORK, NY"
4,RALF HASCHER,,*M,12:11,"ULM, BADEN-WUER"
5,DAVID ROESKE,,M,12:26,"BROOKLYN, NY"
6,FABIO RUGA,,*M,12:31,"SAN SIRO, CO"
7,TERRY PURCELL,,M,12:47,"SPRINGFIELD, IL"
8,DAVID TROMP,,M,12:50,"GLENMONT, NY"
9,JASON LARSON,,M,12:54,"MINNEAPOLIS, MN"
10,SUZY WALSHAM,,*F,12:56,"SINGAPORE, SINGAPORE"
11,ALEXANDER WORKMAN,,M,12:58,"SCHENECTADY, NY"
12,TIMOTHY CLARKE,,M,13:00,"BROOKLYN, NY"
13,WYATT MCKIBBEN,,M,13:10,"NEW YORK, NY"
14,GONZALO REVIRIEGO,,M,13:16,"BROOKLYN, NY"
15,CINDY HARRIS,,F,13:16,"INDIANAPOLIS, IN"
16,JOHN OSBORN,,M,13:28,"SPRINGFIELD, IL"
17,SHARI KLARFELD,,F,13:43,"PLAINVIEW, NY"
18,MARK EWELL,,M,14:06,"COLORADO SPRINGS, CO"
19,MARIA ELISA LOPEZ PIMENTEL,,F,14:17,"CIUDAD DE M̩XICO, MEXICO"
20,TIMOTHY DOWLING,,M,14:17,"SCARSDALE, NY"
21,STEPHANIE HUCKO,,F,14:19,"CHARLOTTE, NC"
22,JOSEPH REDMOND,,M,14:25,"ROCKAWAY PARK, NY"
23,TIMOTHY YANG,,M,14:29,"PEACHTREE CORNERS, GA"
24,STEPHEN MARSALESE,,M,14:30,"RYE BROOK, NY"
25,MYLES FENNON,,M,14:41,"NEW YORK, NY"
26,MEG SANTANNA,,F,14:50,"CHARLOTTE, NC"
27,CHRISTINE SOSKINS,,F,14:55,"ALTADENA, CA"
28,BRIAN GUSTAVESON,,M,14:57,"NEW YORK, NY"
29,CHARLIE O'DONNELL,,M,15:02,"BROOKLYN, NY"
30,CRISTINA BONACINA,,*F,15:12,"PONTIDA, BERGAMO"
31,CHRIS APPELL,,M,15:21,"NEW YORK, NY"
32,JOHN FERRY,,M,15:21,"NEW YORK, NY"
33,DENNIS MORIARTY,,M,15:36,
34,WILLIAM CORCORAN,,M,15:49,"MAHWAH, NJ"
35,ZACK SILVER,,M,15:53,"SHORT HILLS, NJ"
36,SHANE CLARKE,,M,15:53,
37,ZACHARY MCQUAID,,M,15:55,"OSWEGO, NY"
38,TRICIA O'HARA,,F,16:04,"SAN FRANCISCO, CA"
39,ZACHARY PRICE,,M,16:05,"NEW YORK, NY"
40,SUZANNE BERGEN,,F,16:14,"CHARLOTTE, NC"
41,JON FALES,,M,16:17,"NEW YORK, NY"
42,MELVIN LOZANO,,M,16:21,
43,COLLEEN MOFFATT,,F,16:21,"NEWTOWN SQUARE, PA"
44,LINDA VINER,,F,16:51,"CHARLOTTE, NC"
45,JEREMY GROSVENOR,,M,17:08,"SAGAPONACK, NY"
46,PATRICK WILSON,,M,17:08,
47,KYLIE VANBUREN,,F,17:15,"NEW YORK, NY"
48,ALEX NELSON,,M,17:17,"NEW YORK, NY"
49,PAUL STANTON,,M,17:28,"WEEHAWKEN, NJ"
50,WENDY LOGUE-BOYD,,F,17:35,"BABYLON, NY"
51,SABRINA WIESER,,F,17:36,"JERSEY CITY, NJ"
52,HARRISON ABRAMOWITZ,,M,17:51,"NEW YORK, NY"
53,SUSAN GLASER,,F,17:54,"TAMPA, FL"
54,LAUREN DARIENZO,,F,18:01,"LONG BEACH, NY"
55,VITALI OREKHOV,,M,18:04,"REMSEN, NY"
56,PAIGE ENGELDRUM,,F,18:04,"NEW YORK, NY"
