Oakbrook 2018
2018-2-10

50
1,Josh Duncan,,M,3:23,4:39,4:38,4:45,4:41,4:50,4:47,4:53,4:49,4:54,4:51,51:10
2,George Patterson III,,M,3:46,4:17,4:36,4:43,5:02,4:52,5:04,5:04,5:05,4:49,4:56,52:14
1,Robert Klinko,,M,3:51,5:07,5:07,5:15,5:26,5:21,5:31,5:21,5:16,5:06,,51:21
2,Ryan Rathbun,,M,3:24,4:43,5:24,5:09,5:26,5:46,5:28,5:49,5:33,6:17,,52:59
3,Dave Hecker,,M,4:32,5:05,5:16,5:29,5:35,5:46,5:59,5:44,5:42,5:43,,54:51
4,David Hanley,,M,4:55,5:04,5:09,5:31,5:34,5:41,5:46,5:41,5:21,8:11,,56:53
1,Josh Jackett,,M,4:05,5:19,5:27,5:29,5:37,5:51,5:41,5:54,5:21,,,48:44
2,Natalie Doolittle-Shadel,,F,4:15,5:25,5:23,5:37,5:40,5:23,5:38,5:53,5:32,,,48:46
3,Bill Jensen,,M,4:58,5:20,5:38,5:44,6:01,6:03,5:50,6:05,5:54,,,51:33
4,Andy Hanson,,M,4:29,5:44,5:57,5:43,6:13,6:13,6:08,5:35,5:38,,,51:40
5,Sheryl Leonard-Schneck,,F,4:48,5:37,5:39,5:48,6:01,6:05,6:24,6:02,6:16,,,52:40
6,James Downey,,M,5:02,6:10,5:40,5:38,6:03,6:08,5:46,6:13,6:03,,,52:43
7,Olivia Bukowski,,F,5:03,6:06,5:50,5:48,6:04,6:04,5:59,5:43,6:27,,,53:04
8,Jock Cameron,,M,4:03,5:46,5:34,6:13,6:02,6:13,6:23,6:48,6:05,,,53:07
9,Garrett Allen,,M,4:17,5:38,5:44,6:02,6:09,6:12,6:15,6:30,6:25,,,53:12
10,Michael McDonnell,,M,4:32,5:11,5:05,6:23,6:38,7:12,6:39,6:16,6:04,,,54:00
11,Mark Ziehr,,M,4:56,5:35,5:37,6:00,6:12,6:41,6:33,6:29,6:54,,,54:57
12,Harish Nambiar,,M,5:14,6:28,6:33,6:28,7:23,6:54,7:08,6:25,7:29,,,1:00:02
1,Raul Juarez,,M,5:07,5:25,5:40,5:48,6:24,6:17,6:42,6:47,,,,48:10
2,Caroline Morrissey,,F,5:27,6:08,6:24,6:46,6:51,6:43,6:34,6:38,,,,51:31
3,Brian Yoshino,,M,4:37,7:21,7:06,6:56,7:04,7:01,6:51,6:27,,,,53:23
