Big Climb NYC 2019
2019-3-1

100
,Alexander Krol,,M,0:05:41
,Tricia Ohara,,F,0:06:43
,Kristen Hill,,F,0:06:59
,Michael Staub,,M,0:07:00
,Maria Tuccelli,,F,0:07:41
,Nicole Martin,,F,0:08:11
,Thomas Rizzo,,M,0:08:16
,Mehul Kabaria,,M,0:08:34
,Sally Kalksma,,F,0:08:45
,Sean Stafford,,M,0:09:15
,Julie Cook,,F,0:09:19
,Mark Gregorio,,M,0:09:23
,Charles Bower,,M,0:10:24
,Lamont Cooley,,M,0:10:31
,Vikram Basappa,,M,0:10:36
,Joan Hilty,,F,0:10:44
,Wallace Rutkowski,,M,0:10:59
,Lawrence Thomas,,M,0:11:14
,Todd Aalyah,,M,0:11:15
,Shirley Mei,,F,0:11:25
,Cheryl Saldanha,,F,0:11:42
,Marjorie Berkowitz,,F,0:11:50
,Michelle Nickerson,,F,0:11:55
,Timothy Gallagher,,M,0:11:58
,Cindy Lew,,F,0:12:01
,Randi Orzano,,F,0:12:05
,Spencer Jones,,F,0:13:00
,Samuel Solodokin,,M,0:13:23
,Liliana Tepan,,F,0:13:26
,Christine Schwall-Pecci,,F,0:13:31
,Joan Grubb,,F,0:13:36
,Frank Pugliese,,M,0:15:06
,Kitty Tso,,F,0:16:04
,Brian Matty,,M,0:17:15
,Nicole Matty,,F,0:17:21
,Chitra Zacharias,,F,0:17:33
,Mike Peters,,M,0:18:07
,Megan Anderson,,F,0:18:11
,Craig Wilwol,,M,0:20:03
,Morgan Wilwol,,F,0:20:07
,Linda Schlachter,,F,0:20:46
,Loriel Solodokin,,F,0:21:21
,Rafaelina Henriquez,,F,0:23:53
,Raina Panagiotopoulos,,F,0:28:16
,Lillian Rosenbaum,,F,1:23:42
