2020 Aon step up for kids,,,,
2020-1-26,,,,
,,,,
175 # 150 base 20 people under 13:00 cutoff 25 point for 5 bonus climber ,,,,
520,Jesse Berg,,M40-49,10:40
1353,Mark Henderson,,M50-59,10:48
526,Jason Larson,,M30-39,10:57
1628,Jared Hayden,,M20-29,11:27
2132,Roberto Velazquez,,m,11:40
1455,Wes Judd,,M20-29,11:46
1936,Joris Jacquard,,M30-39,11:50
1882,Joshua Duncan,,M40-49,11:56
701,Max Lupo,,M13-19,12:25
855,Daniel Lennington,,M40-49,12:28
856,John Lewis,,M50-59,12:29
1858,David Burnett,,M40-49,12:30
1352,Keith Harvey,,M30-39,12:31
2039,Ryan Rathbun,,M40-49,12:36
1004,Jordan Maxham,,M13-19,12:46
1925,Stephanie Hucko,,F40-49,12:49
996,Lucca Figlioli,,M13-19,12:50
960,Michael Pigoni,,M40-49,12:54
1008,Cole Riedinger,,M13-19,12:56
899,Anthony Arnoni,,M13-19,12:57
2375,Nicholas Woehrle,,M13-19,13:03
1859,Jock Cameron,,M50-59,13:21
1860,Hal Carlson,,M60-69,13:23
191,Ryan Herchenroether,,M13-19,13:27
1845,Sherri Breese,,F30-39,13:28
1416,Tom Scanlan,,M20-29,13:32
685,Charles Hirsch,,M20-29,13:34
995,Jeff Croley,,M13-19,13:38
1657,Eli Whiting,,M13-19,13:42
2109,Craig Wolf,,M30-39,13:53
753,Zachary Eckstrom,,M13-19,13:55
1341,Jack Shelton,,M20-29,13:56
1914,David Hanley,,M40-49,13:59
102,Peter Krzywosz,,M20-29,14:01
1354,Josh Jackett,,M40-49,14:01
2093,Blake Twisselman,,M30-39,14:03
853,Suresh Decosta,,M40-49,14:06
1009,Oliver Rogalski,,M13-19,14:15
1007,Ben Ridder,,M13-19,14:23
854,Natalie Doolittle-Shadel,,F30-39,14:24
2024,Debbie Officer,,F50-59,14:25
2133,Arturo Velazauez Leyva,,m,14:27
1809,Brett Geschke,,M30-39,14:29
890,Richard Siok Jr,,M30-39,14:30
2799,Jameson Hendrick,,m,14:34
2028,Jill Paha,,F30-39,14:36
1074,Kevin Dailey,,M20-29,14:38
809,Kenneth William,,M30-39,14:40
2134,Alejandra Sanchez Bastida,,F,14:42
1847,Len Brodsky,,M60-69,14:42
109,Michael Ballschmiede,,M20-29,14:45
860,Nathan Rubenstein,,M20-29,14:49
1442,James Deddens,,M30-39,14:52
863,Olga Starikova,,F40-49,14:53
640,Nico Gallo,,M30-39,14:54
1596,Hayden Cook,,M01-12,14:56
1527,Garrett Allen,,M30-39,14:59
1989,Nick Mansperger,,M40-49,15:02
1010,Jameson Weyhrich,,M13-19,15:04
1769,Blake Marcum,,M30-39,15:08
773,Cj Nowak,,M13-19,15:09
1005,Michael O'Keef,,M13-19,15:09
1330,Christopher Knoth,,M20-29,15:10
2361,Ryan Connor,,M13-19,15:11
1249,Jacob Fiolka,,M20-29,15:13
2342,Joseph Baumann,,M13-19,15:14
2023,Liam Oconnor,,M20-29,15:14
998,Stephen Gloyd,,M13-19,15:16
661,Adam Webb,,M30-39,15:16
2080,Viorel Stirbu,,M60-69,15:18
1059,Grant Anderson,,M20-29,15:19
1835,Suzanne Bergen,,F50-59,15:20
1485,Matteo Caracciolo-King,,M20-29,15:21
1437,Amanda Youker,,F30-39,15:21
797,Steve Snower,,M40-49,15:21
59,Ichen Yen,,F20-29,15:24
2358,Jackson Oostman,,M13-19,15:25
703,Roberto Almeida,,M20-29,15:25
405,John Hartofillis,,M20-29,15:27
1425,Nicholas Liberatore,,M20-29,15:30
1355,Cathy Sharkey,,F50-59,15:32
1903,Frank Gauthier,,M40-49,15:34
942,Jake Maibuecher,,M13-19,15:34
2017,Christopher Navin,,M30-39,15:36
2389,Michael Moriarty,,M13-19,15:38
2360,Tyler Conner,,m,15:40
1675,Evan Rubinas,,M01-12,15:40
2388,Daniel Klysh,,M13-19,15:44
1969,Dariusz Kupczyk,,M40-49,15:45
404,Brad Grost,,M20-29,15:47
943,James Maibuecher,,M20-29,15:52
823,Jacob Bikshorn,,M20-29,15:53
1773,Mimi Noonan,,F50-59,15:54
1496,Huhn Kim,,M30-39,15:54
212,Eric Spokas,,M30-39,15:55
88,Ryan Ciepley,,M20-29,15:55
1079,Cassandra Hoffman,,F20-29,15:56
394,William Deheeger,,M20-29,15:59
