The Climb Syracuse 2022,,,,
2022-11-19,,,,
,,,,
50,,,,
1,Troy Alston,,M,01:47.3
19,Drew Carroll,,M,02:45.4
44,Jacob Maser,,M,02:57.8
62,Benji Ries,,M,02:58.4
90,Philip Zollo,,M,02:59.1
77,Eric Swiencicki,,M,03:00.6
103,Zach Crosby,,M,03:00.7
93,Dominic Delponte,,M,03:00.9
50,James Musso,,M,03:05.2
98,Billy Savage,,M,03:05.3
99,Stanat Olin,,M,03:05.3
34,Jordan Goldmann,,M,03:05.6
100,Isaac Frechette,,M,03:06.2
94,Ethan Loun,,M,03:06.4
101,Nick Loise,,M,03:06.8
104,Brody Keneston,,M,03:07.0
27,Sam Digeorge,,M,03:07.1
96,John Galini,,M,03:08.6
102,Kyle Caves,,M,03:09.2
97,Kevin Sheenan,,M,03:09.9
16,Jason Boule,,M,03:10.2
53,Wyatt Patchett,,M,03:10.8
95,Nick Noel,,M,03:12.0
35,Melissa Haun,,F,03:18.2
32,Brady Fureno,,M,03:18.3
63,Mike Rockwell,,M,03:19.4
36,Billy Hoffacker,,M,03:20.3
76,Adam Sullivan,,M,03:20.8
57,Aj Petraitis,,M,03:21.1
29,Lukas Egenhauser,,M,03:23.4
74,Kennen Smith,,M,03:23.9
52,Max Parker,,M,03:25.0
31,Steven Freer,,M,03:27.8
24,Jacob Crystal,,M,03:29.0
64,Andrew Roden,,M,03:29.1
40,Connor Hughes,,M,03:31.5
42,Mary Kleberg,,F,03:38.2
11,Emma Birchler,,F,03:38.7
15,Tegan Birchler,,F,03:40.0
13,Jon Birchler,,M,04:02.7
73,Roy Simmons,,M,04:20.3
59,Kelly Porter,,F,04:26.0
71,Jennifer Sherbourne,,F,04:26.1
67,Reagan Ryan,,F,04:26.2
72,Mike Sherbourne,,M,04:30.1
20,Dan Clemens,,M,05:04.5
12,Jackson Birchler,,M,05:15.1
23,Tim Crosby,,M,05:19.1
47,Taylor Miceli,,F,05:22.1
10,Corey Birchler,,M,05:22.2
56,Sarah Peterman,,F,05:22.2
75,Michelle Storinge,,F,05:39.1
33,Megan Godzwon,,F,05:39.7
43,Elyssa Klenotiz,,F,05:51.1
14,Sheila Birchler,,F,05:59.5
30,Brian Fontaine,,M,06:08.9
38,Charlene Hoffman,,F,06:11.9
79,Tina Vecchio,,F,06:12.4
26,Colin Deitz,,M,06:25.7
92,Lorraine Gagnon,,F,06:28.1
83,Luke Wieczorek,,M,06:30.1
84,Mike Wieczorek,,M,06:30.4
91,Kevin Gagnon,,M,06:35.6
25,Tricia D&#039;agostino,,F,06:36.5
48,Diane Morgese,,F,06:41.5
28,Christina Docteur,,F,06:43.8
M,Joseph Bernazzani,,Jr,06:45.8
41,Jesse Jensen,,M,06:57.9
68,Andrea Saloski,,F,07:20.0
46,Bonnie McSpadden,,F,07:25.4
107,Sophia Westbrook,,F,07:34.2
66,Ella Ryan,,F,07:35.1
81,Craig Westbrook,,M,07:35.5
65,Ashley Ryan,,F,07:46.9
39,Bradley Hudson,,M,08:01.0
80,Anita Westbrook,,F,08:04.1
58,Hans Poole,,M,08:12.7
69,Cheri Schmalz,,F,08:28.0
21,Kelly Collins,,F,08:50.4
60,Colleen Rajkowski,,F,08:50.8
3,Blake Bechtel,,M,08:53.6
51,Jessica Ott,,F,08:55.5
78,Heather Thomas-Trovato,,F,08:58.4
61,Chris Rawda,,F,09:03.5
82,Lori Wieczorek,,F,09:19.5
2,Jo Andrews,,F,20:18.1
