2024 FFA milwaukee
2024-3-9

50
,Stephen Marsalese,58,M,49:26.51
,Jill Paha,43,F,50:10.38
,Keith Harvey,38,M,43:58.71
,Bill Dittman,36,M,46:04.64
,Josh Jackett,44,M,48:02.39
,Greg Smith,39,M,48:19.40
,Scott Cayo,36,M,51:37.10
,Sheryl Leonard Schneck,59,F,52:49.11
,Andrew Telschow,27,M,46:27.45
,Kady Magnuson,36,F,48:05.26
,Carl Solms,60,M,48:27.65
,Aimee Telschow,25,F,47:00.66
,Hayden Searcy,30,M,51:33.53
,Matthew Meuleners,42,M,47:08.67
,Correen Gorski,45,F,47:41.00
,Julie Bruno,43,F,49:10.65
,Chris Dienberg,54,M,49:26.12
,Paul Larson,34,M,49:31.20
,Michael Penk,40,M,50:20.06
,Jon Skavlem,69,M,50:28.37
,Phillip Roemaat,41,M,50:34.08
,Tom McGee,67,M,51:32.30
,Mike Kodner,46,M,52:37.49
,Steven Curry,47,M,55:59.09
,Dillon Arenz,14,M,35:19.25
,Brayden Harvey,13,M,43:13.83
,Carolyn Meuleners,42,F,45:46.11
,Matthew Holdorf,43,M,48:23.81
,Jenny Kislow,46,F,49:54.08
,Damien Lehrer,61,M,50:00.67
,Glenn Wobick,41,M,50:33.76
,Taylor Schoenike,30,F,50:58.13
,Sandi Greenway,58,F,51:15.44
,Karly Croatt,31,F,53:22.89
,Sandee Stadler,60,F,33:49.52
,Jonathon Heinemann,21,M,35:21.58
,Kathryn Berezowitz,64,F,36:12.98
,Collin Kappl,40,M,48:30.07
,Sally Tess,61,F,32:58.98
,James Montague,44,M,36:48.53
,Kathleen Murphy,35,F,40:18.74
,Jen Kehoe,54,F,40:31.64
,Ingrid Barber,39,F,54:01.29
,Michele Kenner,62,F,24:35.11
,Jenny Murphy,53,F,27:37.04
,Amy Montejano,41,F,37:17.19
,Shameka Berryman,40,F,37:18.97
,Lisa DePratt,59,F,39:49.86
,Angie Penzkover,54,F,50:27.64
,Connie Kempany,45,F,54:02.34
,Tracy Arndt,50,F,56:36.64
,Erica Lisette Ramirez,34,F,14:47.31
,Brittni Schoenike,33,F,18:35.99
,Nick LoCicero,63,M,21:53.86
,Kelly Johnson,36,F,33:07.66
,Julie Gottfried,49,F,47:54.65
,Mary Jo Schanen,54,F,48:43.98
,Betsy Barnich,41,F,07:19.44
,Michael Meeker,43,M,14:10.89
