Big Climb Albany 2024,,,,
2024-4-20,,,,
,,,,
75,,,,
1,Alexander Workman,, Male,05:25.80
2330,David Tromp,, Male,06:12.70
85,Todd Somerville,, Male,07:18.80
170,Isaac Vernon,, Male,07:26.20
126,Eric Bergin,, Male,07:47.40
195,Jude Beck,, Male,07:51.10
220,Michael Doherty,, Male,07:59.60
236,Michael Malone,, Male,08:05.80
169,Elisa Donato,, Female,08:22.40
1482,Eric Conde,, Male,08:38.40
1499,,,,08:43.30
1466,Jonathan Abbatiello,, Male,08:45.90
1481,Alexis Conde,, Female,08:49.00
1493,Anthony Lia,, Male,08:54.40
103,Joseph Duchane,, Male,08:59.20
17,Lucas Rogers,, Male,09:00.40
40,Faith Frania,, Female,09:02.80
241,Richard Morris,, Male,09:04.20
110,Matthew Stankus,, Male,09:10.20
125,Jennifer Bergeron,, Female,09:11.10
28,Kelly Herdrick,, Female,09:11.90
189,Tammy Simpson,, Female,09:16.30
214,Dash Chrisner,, Male,09:16.30
26,Katerina Gambino,, Female,09:22.20
101,William Bechtel,, Male,09:40.00
185,Michael Verschelden,, Male,09:43.20
108,Jim Roth,, Male,09:45.60
94,Zach Pappas,, Male,09:47.20
135,Emily Pirie,, Female,09:52.10
137,Tim Dahl,, Male,09:53.10
109,Daniel Schuldt,, Male,09:59.50
2375,,,,10:01.00
2372,Chris Kullman,, Male,10:06.00
4,Patrick Alderson,, Male,10:08.10
1477,Tim Ryan,, Male,10:09.90
219,Jennifer Doherty,, Female,10:10.30
213,Valerie Chew,, Female,10:14.00
119,Dana Endres,, Female,10:19.50
1485,David Poole,, Male,10:22.40
72,Sean Rentz,, Male,10:23.50
98,Luke Schoenbeck,, Male,10:24.60
16,Mike McGuire,, Male,10:26.20
173,Miles Vernon,, Male,10:35.40
97,Evan Ryan,, Male,10:35.70
172,Matthew Vernon,, Male,10:38.50
223,Thomas Franklin,, Male,10:45.90
5,Justin Atlas,, Male,10:48.00
102,Nicole Constantino,, Female,10:48.10
78,Melissa Cappelli,, Female,10:51.90
43,Stefan Smith,, Male,10:52.70
1492,Bill Lia,, Male,10:58.70
187,Ashley Mazzeo,, Female,11:01.90
95,Matt Richmond,, Male,11:01.90
199,Roman Boyko,, Male,11:03.80
1483,Tina Harris,, Female,11:06.60
2374,,,,11:07.00
31,Joe Russo,, Male,11:07.40
128,Amy Rogers,, Female,11:10.50
84,Shelly Graves,, Female,11:12.90
1454,Brayden Polikoski,, Male,11:14.10
21,Jack Fitzgerald,, Male,11:16.30
1498,,,,11:16.40
1497,,, Male,11:17.40
51,Terry Bradford,, Male,11:17.40
127,Evan Figiel,, Male,11:18.00
1464,Vincent Wenger,, Male,11:19.00
92,Pete Heffern,, Male,11:19.40
24,David Clement,,,11:19.50
2377,,, Female,11:20.10
134,Alison Mrowinski,, Male,11:22.60
82,Dave Stagnitti,, Male,11:31.40
182,Tiberiu Tatar,, Male,11:31.40
242,Michael Muckerman,, Male,11:31.70
114,Adam Pardi,, Female,11:31.90
193,Joanna Bastow,, Female,11:33.50
80,Andrea Kullman,, Male,11:36.30
91,Josh Floeser,, Female,11:41.00
27,Katherine Hahn,, Female,11:44.90
3,Elizabeth McGuire,, Male,11:45.50
20,Paul Esmond,, Female,11:46.10
87,Erin Cassadydorion,, Female,11:47.00
89,Theresa Lazzari,, Male,11:47.20
121,Joe Terry,,,11:47.70
2360,,, Female,11:50.30
29,Barbara Kucharczyk,, Female,11:51.70
194,Taylor Bastow,, Female,11:53.70
57,Katharyn Schuster,, Female,11:56.30
106,Gabrielle Perry,, Female,12:00.10
53,Kimberly Fetcho,, Male,12:04.50
107,Edward Poultney,, Female,12:11.80
174,Danielle Wales,, Female,12:15.70
37,Kimberlie Dykeman,, Male,12:17.10
215,Michael Chrisner,, Female,12:20.70
120,Alison Terry,, Male,12:24.10
175,William Wales,, Female,12:27.30
1463,Michele Wait,, Male,12:28.10
1494,Mike Bibbo,, Female,12:31.80
229,Laura Hughes,, Female,12:37.50
19,Lauren Denison,, Female,12:45.20
111,Jaclyn Vassari,, Female,12:49.50
2355,Marissa Myers,, Male,12:59.40
