2024 FFA ORLANDO
2024-2-17

50
,Troy Alston,36,M,2:20.26
,Jim Kilts,52,M,3:05.92
,Thomas Scott,59,M,3:10.00
,Daniel Villarino,33,M,Law Enforcement
,Napoleon Woo,67,M,3:35.00
,Jay Steiner,57,M,3:47.75
,Emanuel Gonzalez,36,M,3:55.00
,Michael Fiorentino,40,M,Law Enforcement
,Alicia Rossi,40,F,Climber
,Brian Sharbono,41,M,Firefighter
,Karen Geninatti,66,F,4:12.00
,Michael Shambaugh,54,M,Law Enforcement
,Christian Ducos,34,M,Law Enforcement
,Keith Malcuit,60,M,Climber
,Oscar Santos,28,M,Firefighter
,Emanual Gonzalez,36,M,Law Enforcement
,Jorge Martinez,35,M,Law Enforcement
,Andrew Irvin,38,M,Climber
,Brandon Ragan,42,M,Law Enforcement
,William Ramirez,35,M,Law Enforcement
,Raymer Maguire,70,M,Climber
,Valerie Reed,32,F,4:49.29
,Christopher Chiodo,39,M,Climber
,Logan Strecker,27,M,Law Enforcement
,Doug Fowler,58,M,4:53.00
,Christopher Rodriguez,25,M,4:55.45
,Ana Tarhowska,30,F,Climber
,Andrew Beiler,20,M,5:05.27
,Kevin Fedoton,34,M,Climber
,Justine Cronk,36,F,Climber
,Carl Brown,32,M,Climber
,Josh Densberger,49,M,Climber
,Mark Scott,64,M,5:16.06
,John Zargari,57,M,Climber
,Jeff Linton,68,M,5:22.02
,Steven Rojas,49,M,Law Enforcement
,Joseph Krusick,65,M,Climber
,Ryan Hobbick,28,M,Firefighter
,Patrick Herman,67,M,Climber
,Lauren Miller,29,F,Climber
,Minh Bui,36,F,5:31.01
,Nicholas DeMarco,33,M,Firefighter
,Robin Kilts,59,F,5:38.66
,Hector Cartagena,29,M,Firefighter
,Mark Greyerbiehl,61,M,5:40.22
,Brian Burke,44,M,Firefighter
,Jarred Bess,39,M,Firefighter
,Belinda Dotson,32,F,Firefighter
,Haley Taylor,14,F,Climber
,Randolph Herschelman,46,M,Law Enforcement
,Carlos Chaluisant,36,M,Law Enforcement
,Carolyn Callahan,45,F,Climber
,Jaime Kate Woo,44,F,5:58.13
,Felipe Fagundes,31,M,Law Enforcement
,Hannah Crowe,34,F,Law Enforcement
,Lillian Johnson,18,F,Climber
,Taylor Williams,32,M,Firefighter
,Logan Oakes,32,M,Law Enforcement
,Michael Feher,27,M,6:14.46
