2025 FFA cleveland
2025-3-2

50
,Yi Qun Heng,27,M,7:57.37
,Gabriel Zarzour,27,M,8:28.45
,Todd Suszynski,52,M,9:09.18
,Stephanie Kenney,38,F,9:32.89
,Jeremy Watson,44,M,9:53.53
,Ryan Smarsh,38,M,10:20.74
,Garrett Robison,46,M,10:21.97
,Christopher Mickunas,41,M,10:29.34
,Nicholas Jennette,25,M,10:32.43
,Tricia Davis,44,F,10:51.35
,A. Supp,9,M,10:55.21
,Kayla Prokop,32,F,11:10.43
,Dale Cubic,70,M,11:13.75
,Brandon Uhlik,,M,11:18.17
,Nicholas Mickunas,31,M,11:34.00
,Amanda Wargo,41,F,11:40.41
,Jeanine Kissinger,64,F,11:43.17
,Tracy Kanzig,44,F,11:47.22
,Norbert Gyenge,26,M,11:48.29
,Dan Gibson,38,M,11:50.53
,Stephen Yee,43,M,11:58.79
,Johnny Yung,37,M,12:00.46
,Laura Schroeder,124,F,12:05.56
,Linda Erent,36,F,12:13.79
,Spenser Morrison,,M,12:20.95
,Rosa LaMattina,36,F,12:20.98
,Zachary Rispoli,16,M,12:26.77
,Colleen Yung,33,F,12:27.11
,Jakob Peters,52,M,12:28.81
,Alice Muha,40,F,12:40.99
,Mike Russo,66,M,12:41.40
,Lottie Kulczycki,15,F,12:41.96
,Mark Harmon,62,M,12:42.60
,Cory Galvin,,M,12:51.21
,Steve Booth,66,M,12:53.28
,Erica Smeal,36,F,12:55.73
,Jessica Beckett,40,F,12:59.12
,Beth Barry,57,F,13:02.06
,Mikey Lanzara,17,M,13:04.78
,Michelle Manning,52,F,13:04.79
,Stephen Abbott,40,M,13:06.15
,Ryan Bir,40,M,13:11.22
,Jenna Stiwald,34,F,13:13.78
,Katelyn Wolf,27,F,13:14.37
,Justin Wolf,28,M,13:16.27
,Gregory Verzumo,39,M,13:16.93
,Eric Youngblood,,M,13:23.35
,Brian Paskey,24,M,13:23.74
,Joseph Keppler,35,M,13:25.36
,Jonathan Birkett,44,M,13:26.77
,Brandon Getz,34,M,13:28.65
,Kayla O'Brien,36,F,13:31.06
,Thomas Klein,38,M,13:31.74
,A. Norris,12,M,13:34.74
,Matthew Yetter,53,M,13:35.54
,James Pollack,64,M,13:38.98
,Luke Weber,25,M,13:40.40
,Alex Spaeth,34,F,13:43.06
,Kaitlyn Wolf,23,F,13:43.87
,Brian McMahon,,M,13:46.63
,Michael Kaminski,26,M,13:48.00
,Todd Fox,57,M,13:53.19
,Caroline Kamen,31,F,13:54.72
,Alejandro Gutierrez,46,M,13:56.11
,Alicia Evans,36,F,13:57.44
,Jacquelyn Chorba,38,F,13:58.03
,Kelsie Zimmerer,32,F,13:58.51
,Thomas Kanzig,45,M,14:00.50
,Bryan Kern,24,M,14:08.53
,Debbie Decker,56,F,14:08.82
,Larry Cersosimo,24,M,14:08.89
,Andrea Csï¿½k,34,F,14:09.27
,Michelle Fetzer,57,F,14:12.00
,Chadwick Tatro,31,M,14:12.66
,Lauren Sonnhalter,33,F,14:16.04
,James Hill,24,M,14:16.87
,Perry Ward,46,M,14:16.95
,Robert Zimmerer,60,M,14:18.41
,Adharsh Narendrakumar,16,M,14:18.95
,Nicholas Riley,43,M,14:19.32
,Jaime Eiben,34,F,14:21.39
