2025 FFA Buffalo
2025-4-5

50
,Alex Workman,48,Male,0:03:22
,Jon Podeszek,,Male,0:04:23
,Todd Suszynski,,Male,0:04:27
,Alexander Bock,,Male,0:04:58
,Alicja Hendershot,,Female,0:05:06
,Lukas Vandette,,Male,0:05:17
,Thomas Brachmann,,Male,0:05:17
,Thomas Cycon,,Male,0:05:22
,John Murphy,,Male,0:05:31
,Karen Alongi,,Female,0:05:35
,Danielle Podeszek,,Female,0:05:39
,Caroline Bristol,,Female,0:05:44
,Trevor Hastings,,Male,0:05:46
,Jason Deckert,,Male,0:05:52
,Marisa Prokop,,Female,0:05:54
,Brady Thompson,,Male,0:05:54
,Michael Rizzo,,Male,0:05:54
,Allison Petrozzi,,Female,0:06:00
,Paul Busch,,Male,0:06:05
,Mitchell Stein,,Male,0:06:06
,Lauren Biegner,,Female,0:06:08
,Aaron Brewster,,Male,0:06:08
,Eliana Fitts,,Female,0:06:20
,Alyssa Hendershot,,Female,0:06:20
,Michael Ball,,Male,0:06:20
,Rick Queeno,,Male,0:06:20
,Whitney Mendel,,Female,0:06:21
,Craig Chapman,,Male,0:06:24
,Laina Bockus,,Female,0:06:25
,Andrew Torres,,Male,0:06:29
,Sebastien Ismert,,Male,0:06:29
,Christie Goodman-williams,,Female,0:06:30
,Thomas Franklin,,Male,0:06:33
,Maggie Macadam,,Female,0:06:34
,Jason Curry,,Male,0:06:37
,Lara Smith,,Female,0:06:39
,Michelle Daria,,Female,0:06:43
,Timothy Jones,,Male,0:06:43
,Jennie Rinehart,,Female,0:06:47
,Hannah Kunes,,Female,0:06:47
,Sean Smith,,Male,0:06:49
,Chris Torgalski,,Male,0:06:49
,Warren Davis,,Male,0:06:51
,Thomas Leroy,,Male,0:06:53
,Michael Stein,,Male,0:06:54
,Alex Mayers,,Male,0:06:54
,Jennifer Daroshefski,,Female,0:06:57
,Ashley Kuebler,,Female,0:06:58
,Roslyn Stein,,Female,0:06:59
,Girolamo Mammolito,,Male,0:06:59
,Russell Hill,,Male,0:07:00
,Patrick Concannon,,Male,0:07:02
,Denise Prince,,Female,0:07:04
,Aaron Crane,,Male,0:07:04
,Jonathan Fitts,,Male,0:07:05
,Kennedy Lewandowski,,Female,0:07:05
,Shawn Wright,,Male,0:07:05
,Noah Neale,,Male,0:07:07
,John Vogel,,Male,0:07:07
,Michelle Manning,,Female,0:07:11
,Lance Hilton,,Male,0:07:18
,Mary Konitzer,,Female,0:07:18
,Matthew Sciara,,Male,0:07:20
,Sam Lee,,Female,0:07:20
,David Rock,,Male,0:07:20
,Stephen Jeffrey,,Male,0:07:23
,Douglas Herbert,,Male,0:07:25
,Bridget Lenahan,,Female,0:07:26
,Connor Stein,,Male,0:07:27
,Matt Joyner,,Male,0:07:27
,Eke Aiono,,Male,0:07:31
,Ron Cattarin,,Male,0:07:31
,Dawn Schlee,,Female,0:07:35
,Dawn Flierl,,Female,0:07:36
,Debra Brown,,Female,0:07:36
,Lauren Dlugosz,,Female,0:07:37
,Charles Kraus,,Male,0:07:37
,Jeffrey Kuebler,,Male,0:07:39
,Todd Demmy,,Male,0:07:48
,Vanessa Fitts,,Female,0:07:49
,Kristin Torres,,Female,0:07:49
,Donnie Cook,,Male,0:07:54
,Paul Gorman,,Male,0:07:55
,Michelle Biegner,,Female,0:07:56
,Ona Strang,,Female,0:07:56
,Molly Hurley,,Female,0:07:58
,Magda Kot,,Female,0:08:00
,Sara Vincent,,Female,0:08:01
,David Posenjak,,Male,0:08:04
,Kayla Mayers,,Female,0:08:07
,Natalie Lomoriello,,Female,0:08:08
,Lisa Rychlicki,,Female,0:08:09
,Regina Macadam,,Female,0:08:12
,Jason Czyz,,Male,0:08:14
,Michael Mahony,,Male,0:08:15
,Elliott Fanning,,Male,0:08:17
,Robert Zielinski,,Male,0:08:18
,Meghann Roberts,,Female,0:08:18
,Keira Fitzpatrick,,Female,0:08:19
,Kaytlan Locicero,,Female,0:08:20
,Julie Ruszala,,Female,0:08:20
,Michael Cunningham,,Male,0:08:25
,Ryan Vandette,,Male,0:08:26
,Anthony Cantera,,Male,0:08:27
,Adreana Marino,,Female,0:08:28
,Zander Lorett,,Male,0:08:32
,John Angotti,,Male,0:08:34
,Brian Carr,,Male,0:08:35
,Cassandra Smart,,Female,0:08:38
,Emry Moore,,Male,0:08:39
,Kayleigh Fitzpatrick,,Female,0:08:40
,Philip Giordano,,Male,0:08:40
,James Badgley,,Male,0:08:40
,Ellen Tomczak,,Female,0:08:44
,R. Sherice Zeigler,,Female,0:08:46
,Jeffrey Wilson,,Male,0:08:46
,Paul Gorski,,Male,0:08:47
,Amy Moritz,,Female,0:08:51
,Michael C Brown,,Male,0:08:51
,Claude Campbell,,Male,0:08:51
,Ashley Wilson,,Female,0:08:52
,Lucille Rizzo,,Female,0:08:52
,Kristen Cycon,,Female,0:08:52
,Katie Kaplewicz,,Female,0:08:53
,Elizabeth Bockus,,Female,0:08:58
,Cristina Palczak,,Female,0:08:58
,Matthew Beals,,Male,0:08:58
,Jennifer Fanning,,Female,0:09:00
,Catherine Pavon,,Female,0:09:02
,John Saccomanno,,Male,0:09:02
,Melissa Wagner,,Female,0:09:05
,Tobie Olsan,,Female,0:09:10
,Suzanne Badgley,,Female,0:09:11
,Lashawnda Grant,,Female,0:09:16
,Tanya Burnett,,Female,0:09:17
,Lance Albertson,,Male,0:09:19
,Shelby Janczyk,,Female,0:09:19
,Miranda Herbert,,Female,0:09:21
,Tammy Spencer,,Female,0:09:22
,Stephanie Schirrmacher,,Female,0:09:25
,Katherine Jurkas,,Female,0:09:25
,Rachel Spencer,,Female,0:09:26
,Virginia Dixon,,Female,0:09:28
,Henry Barcomb,,Male,0:09:29
,Renee Garrasi,,Female,0:09:29
,Josh Zalen,,Male,0:09:30
,Jen Bockus,,Female,0:09:31
,Ron Cycon,,Male,0:09:33
,Erika Vandette,,Female,0:09:37
,John Katalinas,,Male,0:09:38
,Brad Rinehart,,Male,0:09:39
,Adam Stopa,,Male,0:09:40
,Quinn Hennessy-snow,,Female,0:09:42
,Emily Purcell,,Female,0:09:44
,Cassidy Regan,,Female,0:09:45
,Ashley Wheeler,,Female,0:09:54
,Peter Rizzo,,Male,0:09:54
,Rachel Maloney Joyner,,Female,0:10:03
,Mo Radeka,,Female,0:10:14
,Melanie Busch,,Female,0:10:16
,Jonathan Krol,,Male,0:10:22
,Claudine Krol,,Female,0:10:23
,Melissa Allen,,Female,0:10:24
,Gretchen Zimmerman,,Female,0:10:24
,Sam Duttry,,Female,0:10:30
,Christine Liszka,,Female,0:10:33
,Jerome Jurewicz,,Male,0:10:34
,Athena Hutchins,,Female,0:10:35
,Nadine Fraser,,Female,0:10:36
,Todd Edwards,,Male,0:10:38
,Valeri Kraskovsky,,Male,0:10:38
,Tim Hibbert,,Male,0:10:40
,Anthony Trifilo,,Male,0:10:42
,Dan Cycon,,Male,0:10:45
,Dorian Myles,,Male,0:10:47
,Marisa Mezzio,,Female,0:10:47
,Kirra Quarrie,,Female,0:10:48
,Brian Rowland,,Male,0:10:49
,Samantha Pratt,,Female,0:10:50
,Michele Forsey,,Female,0:10:50
,Liz Milks,,Female,0:10:54
,Matt Hencinski,,Male,0:10:57
,Heather Rowland,,Female,0:10:58
