2025 climb to the summit,,,,
2025-5-13,,,,
,,,,
50,,,,
,Tricia O'Hara,,F,14:53.00
,STEPHANIE WOWK,,F,16:26.27
,Michelle Colman,,F,16:46.44
,HILDANY SANTANA,,F,17:02.69
,NICOLE MALPESO,,F,17:27.58
,Phoebe Chiem,,F,17:39.90
,ANGELA DEGAETANO,,F,18:48.79
,Kim Xrossing,,F,19:37.96
,JOANN DIAZ,,F,19:39.76
,Nicole Berry,,F,19:45.06
,JOYCE TETU,,F,19:57.48
,Katarzyna Lewandowski,,F,20:07.47
,Dorothy Brown,,F,20:23.87
,Lori Covey,,F,21:03.26
,JENNIFER BOATENG,,F,21:23.39
,Michelle Waters,,F,21:26.80
,Janet Goodwin,,F,21:27.77
,Carla Citro,,F,21:42.14
,Farrell Granath,,F,21:45.97
,Niaa Jenkins-Johnston,,F,21:46.64
,Lucy Kudlinski,,F,21:56.61
,Jacqueline Yackow,,F,22:09.30
,Barb Ehlers-Latona,,F,22:11.43
,Natalie Rogers,,F,22:12.66
,MaryJo Quinn,,F,22:13.01
,Noel Natoli,,F,22:43.46
,Gillian Culkin,,F,22:53.05
,Anna-Liisa Corsi,,F,22:53.64
,Amy Moore,,F,23:03.02
,Emily Corbi,,F,23:03.22
,Clayton Royer,,F,23:09.51
,Kay Lee,,F,23:12.74
,Bayley Storrier,,F,23:21.29
,Kaitlyn Pistilli,,F,23:37.53
,Annette McCann,,F,23:57.49
,Ashalata Shettigar,,F,24:07.37
,Devina Sabnis,,F,24:28.34
,Zoe Weissbach,,F,24:31.29
,Abigail Drucker,,F,24:41.07
,MARIJANA HERCEG,,F,24:59.58
,Sarah Young,,F,25:08.01
,Maya Schwartz,,F,25:11.71
,Ani Wolff,,F,25:20.62
,ALEXIS NARVAEZ,,F,25:25.96
,KATELYN MORGAN,,F,25:28.51
,ADELA SELIMAJ,,F,25:35.41
,Cidnee Vaykovich,,F,25:38.37
,Elizabeth Randall,,F,25:46.15
,Courtney Flood,,F,25:50.01
,TRACY LEWIS,,F,26:10.08
,Laura Kavanagh,,F,27:35.50
,Julia Freeman,,F,28:11.68
,Jennifer Kim,,F,28:21.04
,Heidi Gallegos,,F,28:25.88
,Emma Keating,,F,28:30.03
,Nicole Thompson,,F,28:42.89
,Jodie Alexander,,F,29:23.60
,Haley Godau,,F,29:26.07
,Diane Horvath,,F,29:30.12
,Amanda Forrest,,F,29:38.69
,Mishka Borzova,,F,29:57.91
,Mindy Davidson,,F,30:07.81
,Pam Swidler,,F,30:23.00
,whitney Anderson,,F,30:27.04
,Namita Pandita,,F,35:16.73
,Alena Thompson,,F,35:25.28
,Alison Lands,,F,35:31.76
,Irene Li,,F,37:21.99
,Meghan George,,F,37:47.86
,Madison Irving,,F,38:30.36
,Rama Doddi,,F,40:14.37
,Joy Spiotta,,F,40:53.99
,Jennifer Brown,,F,41:02.27
,Francisca Lopez,,F,46:15.78
,Cassidy Lin,,F,53:00.00
,Dipti Ravi,,F,1:08:02.77
,David Roeske,,M,11:57.66
,MICHAEL WATTS,,M,12:43.05
,DENIS SWEENEY,,M,12:59.07
,GREG KAVAZANJIAN,,M,13:36.49
,Chris Van Glahn,,M,13:52.42
,Matt Ritchie,,M,14:26.92
,Vincent Depalma,,M,14:27.71
,CONNOR DOWNEY,,M,14:28.64
,Omar Cecere,,M,14:36.27
,ETAN BLATT,,M,14:40.87
,Harrison Lauer,,M,14:42.41
,JOE DOWNEY,,M,14:49.78
,THOMAS TROPEA,,M,14:52.31
,Tricia O'Hara,,M,14:53.00
,JEREMY SILVA,,M,14:53.88
,CHARLES HESS,,M,15:00.04
,DANIEL VILLA,,M,15:00.36
,Patrick Daley,,M,15:03.95
,Peter Hansen,,M,15:06.37
,SEAN MASSIMO,,M,15:24.26
,Thibault Avot,,M,15:28.39
,Joel Horvath,,M,15:29.12
,KELLY COYLE,,M,15:31.53
,BRENDAN FINNERTY,,M,15:34.80
,KEVIN TRIMBLE,,M,15:44.83
,Westin Babyak,,M,15:49.48
,Cullen Morgan,,M,15:49.82
,HARRY PARKER,,M,15:50.48
,DANIEL CASTELLANO,,M,15:58.49
,RYAN VAN WINCKLE,,M,16:00.32
,JOHNNY O'BRIEN,,M,16:02.04
,MIKE BRINGE,,M,16:12.03
,ALEX ROSSO,,M,16:13.30
,STEVE HANSEN,,M,16:14.20
,JOEY SALERNO,,M,16:15.93
,Peter Schubert,,M,16:21.57
,STEPHANIE WOWK,,M,16:26.27
,ANTHONY RIZZO,,M,16:30.81
,Matthew Fox,,M,16:30.84
,Joseph Occhiuto,,M,16:31.59
,VINNY DIONISI,,M,16:31.84
,RICK BURTON,,M,16:39.05
,JOSEPH BESIGNANO,,M,16:39.05
,MAROUANE BAIOUAK,,M,16:39.57
,ANDREW DEDA,,M,16:41.42
,EDWARD CUEVAS,,M,16:42.73
,JAMES MITCHELL,,M,16:44.52
,DANIEL STRAUSS,,M,16:45.84
,Michelle Colman,,M,16:46.44
,DAN MONTESANO,,M,16:46.90
,VINNY SANELLI,,M,16:47.18
,RAY MCPOLIN,,M,16:48.22
,John Hanikeh,,M,16:51.91
,KEITH OLSEN,,M,16:54.20
,JAMES HERNON,,M,16:55.87
,DORIAN VIDIE,,M,16:56.78
,LOU MAURO,,M,17:01.68
,HILDANY SANTANA,,M,17:02.69
,Nathan Jaime Marcus,,M,17:04.66
,Nicholas DeMarinis,,M,17:05.73
,BRIAN LONG,,M,17:07.69
,ADAM DEPOWSKI,,M,17:07.78
,ANTHONY DITRANI,,M,17:10.82
