2026 FFA dallas 
2026-4-25

50
3687,Joseph Startz ,, M , 6:13.0
3708,Rhett Rodabaugh ,, M , 7:05.5
3676,Stephanie Hardy ,, F , 7:18.5
3693,Victor Nieves ,, M , 7:24.8
3720,Radames Diaz-griffet ,, M , 7:29.3
3685,Oanh La ,, F , 7:32.1
3718,Joey Biediger ,, M , 7:35.5
3724,Emmanuel Moore ,, M , 8:01.0
3689,Stephen Coyne ,, M , 8:20.8
3678,Krystian Piechocki ,, M , 8:35.3
3688,Efren Zavala ,, M , 8:46.8
3692,Angel Vega ,, M , 8:52.1
3716,Brandon Howe ,, M , 9:11.1
3694,Miriam Diaz ,, F , 9:13.2
3734,Nia Gibbs-francis ,, F , 9:15.6
3717,Gavin Campbell ,, M , 9:18.8
3697,Manasseh Appiah ,, M , 9:36.8
3709,Anthony Nguyen ,, M , 9:48.0
3686,Audrey Stansbury ,, F , 9:54.7
3682,Vianca Nuno ,, F , 9:58.1
3703,Maggie Langford ,, F , 10:38.7
3704,John Shero ,, M , 10:38.7
3683,Jose Rodriguez ,, M , 10:41.2
3700,Kylie Yonge ,, F , 10:53.4
3713,Jonathan Stoup ,, M , 10:55.1
3714,Nathaniel Stoup ,, M , 10:59.7
3691,Sandra Vega ,, F , 11:09.7
3699,Kelsey Marrow ,, F , 11:14.6
3735,Emily Foran ,, F , 11:19.7
3719,Lismar Toth ,, M , 11:21.3
3721,Maranda Basey ,, F , 11:28.4
3722,Maranda Basey ,, M , 11:36.4
3681,Jacob Mcdonald ,, M , 11:37.5
3702,Deandra Spencer ,, F , 12:08.8
3690,Stephen Coyne2 ,, M , 12:15.2
3675,Bruce Gilbert ,, M , 12:25.7
3677,Witold Zielinski ,, M , 12:30.1
3710,Daniela Gonzalez ,, F , 12:45.2
3701,Nancy Adams ,, F , 13:13.8
3698,Lauren Adu ,, F , 13:27.1
3684,Shawn Bailey ,, M , 13:31.6
3723,Phillip Miller ,, M , 13:35.6
3705,Charles Hasberry ,, M , 14:23.4
3715,Rebecca Stoup ,, F , 14:56.4
3695,Marsha Oloughin ,, F , 14:59.4
3706,Avery Tatham ,, F , 15:29.8
3707,Shannon Krause ,, F , 15:35.1
3696,Ben Dubose ,, M , 16:11.8
3679,Bart Patton ,, M , 16:33.8
3680,Jenny Patton ,, F , 16:39.9
3740,Jasmine Flores ,, F , 16:48.7
3741,Courtney Obasohan ,, F , 17:23.2
3739,Joshua Kieschnick ,, M , 20:57.2
3738,Susan Moger ,, F , 21:12.6
3712,Larry Buxton ,, M , 24:48.1
3711,Gary Ellis ,, M , 25:38.3
3744,Nathan Davison ,, M , 26:08.0
3745,Kaden Davison ,, M , 26:27.3
3743,Maria Briones ,, F , 26:54.1
3742,Rafael Carrera ,, M , 27:04.4
,,,,
,Notes:  ,,,
